Title,Date
"Maçonaria - Segredos Revelados: Temporada 1: Episódio 1","21/09/2018"
"Reign: Temporada 4: Custou caro","20/09/2018"
"Reign: Temporada 4: Sangue na água","20/09/2018"
"Reign: Temporada 4: Uma noiva. Um caixão. Um corpo.","20/09/2018"
"Reign: Temporada 4: Golpe de misericórdia","20/09/2018"
"Reign: Temporada 4: A chantagem","20/09/2018"
"Reign: Temporada 4: Na calada da noite","20/09/2018"
"Reign: Temporada 4: Um homem melhor","20/09/2018"
"Reign: Temporada 4: Por um fio","19/09/2018"
"Reign: Temporada 4: Águas inexploradas","19/09/2018"
"Reign: Temporada 4: Espada pronta para atacar","19/09/2018"
"Reign: Temporada 4: Amor e morte","19/09/2018"
"Reign: Temporada 4: Jogos das Terras Altas","19/09/2018"
"Reign: Temporada 4: Brincando com fogo","19/09/2018"
"Reign: Temporada 4: Votos de confiança","18/09/2018"
"Reign: Temporada 4: Grãos traiçoeiros","18/09/2018"
"Reign: Temporada 4: Com amigos assim...","18/09/2018"
"Reign: Temporada 3: Aranhas num frasco","18/09/2018"
"Reign: Temporada 3: Intrusos","17/09/2018"
"Reign: Temporada 3: Clãs","17/09/2018"
"Reign: Temporada 3: Passagem segura","17/09/2018"
"Reign: Temporada 3: Até a morte","17/09/2018"
"Reign: Temporada 3: Estranhos companheiros","17/09/2018"
"Reign: Temporada 3: Sem saída","17/09/2018"
"Reign: Temporada 3: Sucessão","16/09/2018"
"Reign: Temporada 3: Contusões que mentem","16/09/2018"
"Reign: Temporada 3: Casamento","16/09/2018"
"Reign: Temporada 3: Nossa perdição","16/09/2018"
"Reign: Temporada 3: O cão e a lebre","16/09/2018"
"Reign: Temporada 3: Luta ou fuga","16/09/2018"
"Reign: Temporada 3: Numa clareira","16/09/2018"
"Reign: Temporada 3: O preço","16/09/2018"
"Reign: Temporada 3: Medidas extremas","16/09/2018"
"Clube da luta dos animais: Temporada 1: Batalha na Savana","16/09/2018"
"Pulando a Vassoura","16/09/2018"
"O Apocalipse","16/09/2018"
"Reign: Temporada 3: Noivos","15/09/2018"
"Reign: Temporada 3: Três rainhas, dois tigres","15/09/2018"
"Reign: Temporada 2: Queimar","15/09/2018"
"Reign: Temporada 2: O cerco","15/09/2018"
"Reign: Temporada 2: Fugitivo","15/09/2018"
